ATM Name,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence,Day,Month,Year,Rainfall_Status
Mount Road ATM,508500,THURSDAY,NH,W,WWW,10,2,2011,No Rain
Airport ATM,456800,THURSDAY,NH,W,WWW,10,2,2011,No Rain
KK Nagar ATM,767000,THURSDAY,NH,W,WWW,10,2,2011,No Rain
Christ College ATM,348300,THURSDAY,NH,W,WWW,10,2,2011,No Rain
Big Street ATM,107400,FRIDAY,NH,W,WWW,11,2,2011,No Rain
Mount Road ATM,462500,FRIDAY,NH,W,WWW,11,2,2011,No Rain
Airport ATM,406100,FRIDAY,NH,W,WWW,11,2,2011,No Rain
KK Nagar ATM,615500,FRIDAY,NH,W,WWW,11,2,2011,No Rain
Christ College ATM,413300,FRIDAY,NH,W,WWW,11,2,2011,No Rain
Big Street ATM,143200,SATURDAY,NH,H,WHH,12,2,2011,No Rain
Mount Road ATM,357100,SATURDAY,NH,H,WHH,12,2,2011,No Rain
Airport ATM,429200,SATURDAY,NH,H,WHH,12,2,2011,No Rain
KK Nagar ATM,802500,SATURDAY,NH,H,WHH,12,2,2011,No Rain
Christ College ATM,452900,SATURDAY,NH,H,WHH,12,2,2011,No Rain
Big Street ATM,74900,SUNDAY,NH,H,HHW,13,2,2011,No Rain
Mount Road ATM,359400,SUNDAY,NH,H,HHW,13,2,2011,No Rain
Airport ATM,288100,SUNDAY,NH,H,HHW,13,2,2011,No Rain
KK Nagar ATM,370700,SUNDAY,NH,H,HHW,13,2,2011,No Rain
Christ College ATM,119000,SUNDAY,NH,H,HHW,13,2,2011,No Rain
Big Street ATM,117000,MONDAY,NH,W,HWW,14,2,2011,No Rain
Mount Road ATM,413100,MONDAY,NH,W,HWW,14,2,2011,No Rain
Airport ATM,365800,MONDAY,NH,W,HWW,14,2,2011,No Rain
KK Nagar ATM,791300,MONDAY,NH,W,HWW,14,2,2011,No Rain
Christ College ATM,173100,MONDAY,NH,W,HWW,14,2,2011,No Rain
Big Street ATM,123700,TUESDAY,NH,W,WWH,15,2,2011,No Rain
Mount Road ATM,499900,TUESDAY,NH,W,WWH,15,2,2011,No Rain
Airport ATM,362000,TUESDAY,NH,W,WWH,15,2,2011,No Rain
KK Nagar ATM,890100,TUESDAY,NH,W,WWH,15,2,2011,No Rain
Christ College ATM,357700,TUESDAY,NH,W,WWH,15,2,2011,No Rain
Big Street ATM,23700,WEDNESDAY,M,H,WHW,16,2,2011,No Rain
Mount Road ATM,317300,WEDNESDAY,M,H,WHW,16,2,2011,No Rain
Airport ATM,277900,WEDNESDAY,M,H,WHW,16,2,2011,No Rain
KK Nagar ATM,482200,WEDNESDAY,M,H,WHW,16,2,2011,No Rain
Christ College ATM,147100,WEDNESDAY,M,H,WHW,16,2,2011,No Rain
Big Street ATM,99700,THURSDAY,NH,W,HWW,17,2,2011,No Rain
Mount Road ATM,549900,THURSDAY,NH,W,HWW,17,2,2011,No Rain
Airport ATM,292300,THURSDAY,NH,W,HWW,17,2,2011,No Rain
KK Nagar ATM,998300,THURSDAY,NH,W,HWW,17,2,2011,No Rain
Christ College ATM,292600,THURSDAY,NH,W,HWW,17,2,2011,No Rain
Big Street ATM,141800,FRIDAY,NH,W,WWH,18,2,2011,No Rain
Mount Road ATM,484200,FRIDAY,NH,W,WWH,18,2,2011,No Rain
Airport ATM,242200,FRIDAY,NH,W,WWH,18,2,2011,No Rain
KK Nagar ATM,543000,FRIDAY,NH,W,WWH,18,2,2011,No Rain
Christ College ATM,200600,FRIDAY,NH,W,WWH,18,2,2011,No Rain
Big Street ATM,54300,SATURDAY,NH,H,WHH,19,2,2011,Light Rain
Mount Road ATM,441400,SATURDAY,NH,H,WHH,19,2,2011,Light Rain
Airport ATM,454200,SATURDAY,NH,H,WHH,19,2,2011,Light Rain
KK Nagar ATM,858300,SATURDAY,NH,H,WHH,19,2,2011,Light Rain
Christ College ATM,399800,SATURDAY,NH,H,WHH,19,2,2011,Light Rain
Big Street ATM,56000,SUNDAY,NH,H,HHW,20,2,2011,Light Rain
Mount Road ATM,407300,SUNDAY,NH,H,HHW,20,2,2011,Light Rain
Airport ATM,347800,SUNDAY,NH,H,HHW,20,2,2011,Light Rain
KK Nagar ATM,302100,SUNDAY,NH,H,HHW,20,2,2011,Light Rain
Christ College ATM,169400,SUNDAY,NH,H,HHW,20,2,2011,Light Rain
Big Street ATM,64200,MONDAY,NH,W,HWW,21,2,2011,Light Rain
Mount Road ATM,456400,MONDAY,NH,W,HWW,21,2,2011,Light Rain
Airport ATM,285600,MONDAY,NH,W,HWW,21,2,2011,Light Rain
KK Nagar ATM,659200,MONDAY,NH,W,HWW,21,2,2011,Light Rain
Christ College ATM,143200,MONDAY,NH,W,HWW,21,2,2011,Light Rain
Big Street ATM,142500,TUESDAY,NH,W,WWW,22,2,2011,Light Rain
Mount Road ATM,479200,TUESDAY,NH,W,WWW,22,2,2011,Light Rain
Airport ATM,350400,TUESDAY,NH,W,WWW,22,2,2011,Light Rain
KK Nagar ATM,624300,TUESDAY,NH,W,WWW,22,2,2011,Light Rain
Christ College ATM,370800,TUESDAY,NH,W,WWW,22,2,2011,Light Rain
Big Street ATM,91900,WEDNESDAY,NH,W,WWW,23,2,2011,Moderate Rain
Mount Road ATM,379700,WEDNESDAY,NH,W,WWW,23,2,2011,Moderate Rain
Airport ATM,434100,WEDNESDAY,NH,W,WWW,23,2,2011,Moderate Rain
KK Nagar ATM,704500,WEDNESDAY,NH,W,WWW,23,2,2011,Moderate Rain
Christ College ATM,265700,WEDNESDAY,NH,W,WWW,23,2,2011,Moderate Rain
Big Street ATM,74700,THURSDAY,NH,W,WWW,24,2,2011,Light Rain
Mount Road ATM,391600,THURSDAY,NH,W,WWW,24,2,2011,Light Rain
Airport ATM,205700,THURSDAY,NH,W,WWW,24,2,2011,Light Rain
KK Nagar ATM,647400,THURSDAY,NH,W,WWW,24,2,2011,Light Rain
Christ College ATM,255600,THURSDAY,NH,W,WWW,24,2,2011,Light Rain
Big Street ATM,33700,FRIDAY,NH,W,WWH,25,2,2011,Light Rain
Mount Road ATM,339300,FRIDAY,NH,W,WWH,25,2,2011,Light Rain
